census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170317003011005,6468.0,5560.0,5084.0,3199.0,1518.0,1152.0,717.0,799.0,657.0,858.0,1319.0,3468.0,30799.0,100.0
170318329001016,11225.0,9945.0,8396.0,4093.0,2558.0,1254.0,973.0,917.0,1007.0,1287.0,2790.0,8305.0,52750.0,141.0
170318342004004,434.0,409.0,276.0,119.0,69.0,35.0,29.0,32.0,27.0,29.0,86.0,320.0,1865.0,24.0
170316403003006,4316.0,4062.0,3088.0,1675.0,964.0,647.0,523.0,475.0,443.0,619.0,1166.0,3523.0,21501.0,69.0
170317505004030,2498.0,2593.0,1699.0,989.0,754.0,316.0,189.0,195.0,186.0,326.0,870.0,2142.0,12757.0,49.0
170310704001006,11992.0,10184.0,7253.0,3744.0,3721.0,1062.0,908.0,912.0,869.0,1132.0,2949.0,8990.0,53716.0,145.0
170311608001000,4002.0,3543.0,3443.0,1582.0,788.0,490.0,294.0,106.0,121.0,127.0,371.0,1808.0,16675.0,1.0
170310508001018,5230.0,4260.0,3519.0,1868.0,1101.0,560.0,411.0,342.0,343.0,474.0,1115.0,3006.0,22229.0,71.0
170316308002011,5560.0,4848.0,3051.0,1693.0,1054.0,586.0,595.0,545.0,525.0,913.0,2115.0,5285.0,26770.0,128.0
170318369002003,17984.0,12545.0,13146.0,6170.0,3607.0,1898.0,2006.0,1808.0,1888.0,3143.0,7098.0,18589.0,89882.0,181.0
170310206011012,6273.0,4929.0,4328.0,2451.0,1542.0,690.0,506.0,398.0,436.0,565.0,1520.0,3762.0,27400.0,62.0
170313906002000,2137.0,13934.0,17026.0,2978.0,1456.0,532.0,3123.0,431.0,751.0,1933.0,6593.0,13841.0,64735.0,70.0
170310209011013,8825.0,8255.0,5654.0,2884.0,2266.0,1429.0,951.0,783.0,923.0,1223.0,3390.0,8608.0,45191.0,137.0
170315608005016,3877.0,3085.0,2737.0,1388.0,756.0,365.0,344.0,275.0,268.0,388.0,852.0,2320.0,16655.0,41.0
170312214003005,958.0,114.0,1346.0,218.0,152.0,88.0,70.0,82.0,90.0,148.0,506.0,980.0,4752.0,117.0
170310305001009,23268.0,21978.0,15417.0,8500.0,6492.0,2825.0,2625.0,2498.0,2606.0,4216.0,8486.0,22796.0,121707.0,157.0
170312411001008,8672.0,7418.0,6623.0,3331.0,1771.0,1140.0,724.0,795.0,814.0,1118.0,1915.0,4750.0,39071.0,118.0
170317205002002,1594.0,1416.0,1198.0,555.0,337.0,159.0,105.0,96.0,108.0,142.0,376.0,1169.0,7255.0,14.0
170314907003031,6380.0,5680.0,4014.0,2251.0,1170.0,633.0,645.0,492.0,544.0,1136.0,2554.0,6738.0,32237.0,94.0
170316406002016,1918.0,1846.0,1304.0,672.0,391.0,239.0,199.0,196.0,186.0,248.0,563.0,1804.0,9566.0,26.0
170314407002007,7447.0,6593.0,6175.0,4071.0,2284.0,1185.0,556.0,492.0,489.0,726.0,1693.0,3849.0,35560.0,60.0
170310705001000,9553.0,7843.0,5581.0,2777.0,1874.0,843.0,698.0,716.0,671.0,890.0,2552.0,7251.0,41249.0,116.0
170313008001024,7858.0,6997.0,6860.0,4223.0,2094.0,1417.0,908.0,964.0,887.0,957.0,1680.0,4385.0,39230.0,209.0
170314212001006,5153.0,4414.0,4853.0,2890.0,1034.0,650.0,339.0,259.0,270.0,400.0,997.0,2854.0,24113.0,65.0
170318423001093,8236.0,6567.0,5593.0,3069.0,1570.0,986.0,708.0,605.0,585.0,823.0,1736.0,4768.0,35246.0,93.0
